model,elo
checkpoints_large_batches_2_ckpt_5800,1026.2
checkpoints_large_batches_2_ckpt_5600,1025.1
checkpoints_large_batches_2_ckpt_3800,1025.0
checkpoints_large_batches_2_ckpt_3400,1024.9
checkpoints_large_batches_2_ckpt_4800,1024.7
checkpoints_large_batches_2_ckpt_3600,1024.3
checkpoints_large_batches_2_ckpt_3200,1024.2
checkpoints_large_batches_2_ckpt_4600,1023.9
checkpoints_large_batches_2_ckpt_4000,1023.9
checkpoints_large_batches_2_ckpt_5000,1023.3
checkpoints_large_batches_2_ckpt_4200,1023.1
checkpoints_large_batches_2_ckpt_2600,1022.9
checkpoints_large_batches_2_ckpt_5400,1022.8
checkpoints_large_batches_2_ckpt_5200,1022.8
checkpoints_large_batches_2_ckpt_2400,1022.6
checkpoints_large_batches_2_ckpt_4400,1021.9
checkpoints_large_batches_2_ckpt_1600,1021.2
checkpoints_large_batches_2_ckpt_2000,1020.8
checkpoints_large_batches_2_ckpt_3000,1020.6
checkpoints_large_batches_2_ckpt_2800,1019.9
checkpoints_large_batches_2_ckpt_1800,1019.6
checkpoints_large_batches_2_ckpt_1400,1019.4
checkpoints_large_batches_2_ckpt_1200,1017.8
checkpoints_large_batches_2_ckpt_2200,1016.9
checkpoints_large_batches_2_ckpt_1000,1015.5
checkpoints_large_batches_2_ckpt_800,1013.7
checkpoints_large_batches_2_ckpt_600,1010.4
checkpoints_large_batches_2_ckpt_400,1007.3
checkpoints_large_batches_2_ckpt_200,1000.6
checkpoints_transformer_small_batches_ckpt_1600,993.5
checkpoints_transformer_small_batches_ckpt_1800,992.9
checkpoints_transformer_small_batches_ckpt_2000,991.6
checkpoints_transformer_small_batches_ckpt_2400,991.6
checkpoints_transformer_small_batches_ckpt_2200,989.1
checkpoints_transformer_small_batches_ckpt_1400,988.9
checkpoints_transformer_small_batches_ckpt_1200,988.5
checkpoints_transformer_small_batches_ckpt_1000,987.2
checkpoints_transformer_small_batches_ckpt_2600,986.4
checkpoints_transformer_small_batches_ckpt_4600,983.2
checkpoints_transformer_small_batches_ckpt_2800,982.6
checkpoints_transformer_small_batches_ckpt_4400,982.2
checkpoints_transformer_small_batches_ckpt_4000,981.4
checkpoints_transformer_small_batches_ckpt_4800,978.0
checkpoints_transformer_small_batches_ckpt_3000,977.6
checkpoints_transformer_small_batches_ckpt_4200,975.8
checkpoints_transformer_small_batches_ckpt_3600,975.8
checkpoints_transformer_small_batches_ckpt_3800,974.3
checkpoints_transformer_small_batches_ckpt_800,973.4
checkpoints_transformer_small_batches_ckpt_3400,972.7
checkpoints_transformer_small_batches_ckpt_3200,972.5
checkpoints_transformer_small_batches_ckpt_5000,972.2
checkpoints_transformer_small_batches_ckpt_600,968.1
checkpoints_transformer_small_batches_ckpt_400,957.4
checkpoints_transformer_small_batches_ckpt_200,939.8
checkpoints_random_ckpt_200,938.1
