Game Index,Bet Points Model 1,Bet Points Model 2
1,4,0
2,3,1
3,1,2
4,3,1
5,2,2
6,2,2
7,3,1
8,1,3
9,4,0
10,1,3
11,2,2
12,3,1
13,2,2
14,4,0
15,2,2
16,1,2
17,3,1
18,4,0
19,4,0
20,2,2
21,4,0
22,3,1
23,2,2
24,4,0
25,0,4
26,1,3
27,0,4
28,4,0
29,2,2
30,2,2
31,4,0
32,3,1
33,1,3
34,4,0
35,2,2
36,3,1
37,2,2
38,2,2
39,1,3
40,3,1
41,0,4
42,3,1
43,4,0
44,0,4
45,3,1
46,4,0
47,2,2
48,4,0
49,3,1
50,4,0
51,2,2
52,2,1
53,3,1
54,4,0
55,1,3
56,2,1
57,4,0
58,1,3
59,2,2
60,3,1
61,2,2
62,1,3
63,0,4
64,4,0
65,2,2
66,2,2
67,2,2
68,4,0
69,1,3
70,4,0
71,3,1
72,3,1
73,3,1
74,4,0
75,4,0
76,3,1
77,4,0
78,3,1
79,2,2
80,3,1
81,4,0
82,0,4
83,2,2
84,2,1
85,3,1
86,2,2
87,2,2
88,3,1
89,3,1
90,2,2
91,2,2
92,1,3
93,3,1
94,0,4
95,3,1
96,4,0
97,2,2
98,3,1
99,2,2
100,2,2
101,0,4
102,2,2
103,1,3
104,2,2
105,4,0
106,3,1
107,0,4
108,4,0
109,2,2
110,3,1
111,1,3
112,2,2
113,2,2
114,3,1
115,2,2
116,1,3
117,1,3
118,0,4
119,3,1
120,0,4
121,2,2
122,3,1
123,4,0
124,1,3
125,3,1
126,3,1
127,1,2
128,1,3
129,3,1
130,4,0
131,3,1
132,0,4
133,0,4
134,1,3
135,4,0
136,1,3
137,3,1
138,1,3
139,3,1
140,2,2
141,2,2
142,1,3
143,4,0
144,1,3
145,3,1
146,1,3
147,1,3
148,2,1
149,4,0
150,3,1
151,2,2
152,2,2
153,3,1
154,1,3
155,2,2
156,4,0
157,4,0
158,0,4
159,3,1
160,3,1
161,0,4
162,3,1
163,4,0
164,3,1
165,2,2
166,3,1
167,1,3
168,1,2
169,1,3
170,2,1
171,4,0
172,1,2
173,0,4
174,1,3
175,2,2
176,3,1
177,0,4
178,2,2
179,0,4
180,3,1
181,4,0
182,4,0
183,3,1
184,1,3
185,1,3
186,2,2
187,2,2
188,3,1
189,1,3
190,0,4
191,3,0
192,3,1
193,3,1
194,2,2
195,4,0
196,4,0
197,1,2
198,2,2
199,1,3
200,4,0
201,4,0
202,4,0
203,1,3
204,3,1
205,1,3
206,0,4
207,3,1
208,0,4
209,4,0
210,4,0
211,1,3
212,4,0
213,3,1
214,3,1
215,2,2
216,1,3
217,3,1
218,3,0
219,2,2
220,2,2
221,0,4
222,3,1
223,2,2
224,4,0
225,2,2
226,4,0
227,2,2
228,4,0
229,2,2
230,3,1
231,4,0
232,2,2
233,2,2
234,3,1
235,2,2
236,3,1
237,4,0
238,3,1
239,4,0
240,3,1
241,4,0
242,1,3
243,4,0
244,4,0
245,4,0
246,4,0
247,4,0
248,4,0
249,4,0
250,2,2
251,3,1
252,1,2
253,4,0
254,1,3
255,2,2
256,2,2
257,2,2
258,0,4
259,2,2
260,2,2
261,4,0
262,4,0
263,3,1
264,1,3
265,0,4
266,2,2
267,3,1
268,2,2
269,1,3
270,3,1
271,2,2
272,1,3
273,3,1
274,1,3
275,2,2
276,1,3
277,3,1
278,4,0
279,2,2
280,2,2
281,2,2
282,3,1
283,4,0
284,2,2
285,4,0
286,0,4
287,3,1
288,0,4
289,1,3
290,4,0
291,3,1
292,3,1
293,4,0
294,0,4
295,3,1
296,3,1
297,2,2
298,4,0
299,2,2
300,2,2
301,3,0
302,1,3
303,4,0
304,1,2
305,2,2
306,4,0
307,3,1
308,4,0
309,1,3
310,4,0
311,1,3
312,3,1
313,3,1
314,3,1
315,0,4
316,2,2
317,3,1
318,1,3
319,3,1
320,4,0
321,4,0
322,2,2
323,4,0
324,1,3
325,3,1
326,4,0
327,2,2
328,3,1
329,2,2
330,4,0
331,0,4
332,4,0
333,3,1
334,1,3
335,2,2
336,0,4
337,3,1
338,4,0
339,4,0
340,3,1
341,4,0
342,4,0
343,1,3
344,4,0
345,1,3
346,1,3
347,1,3
348,4,0
349,4,0
350,4,0
351,3,1
352,4,0
353,4,0
354,2,2
355,3,1
356,4,0
357,2,2
358,0,4
359,2,2
360,2,2
361,0,4
362,4,0
363,1,3
364,0,4
365,0,4
366,4,0
367,4,0
368,3,0
369,1,3
370,4,0
371,3,1
372,3,1
373,0,4
374,3,1
375,4,0
376,3,1
377,4,0
378,1,3
379,0,4
380,3,1
381,0,4
382,0,4
383,0,4
384,2,2
385,2,2
386,4,0
387,0,4
388,2,1
389,3,1
390,4,0
391,4,0
392,3,1
393,3,1
394,2,2
395,2,2
396,1,3
