Game Index,Bet Points Model 1,Bet Points Model 2
1,4,0
2,2,2
3,3,1
4,0,4
5,4,0
6,4,0
7,3,1
8,4,0
9,3,1
10,4,0
11,3,1
12,1,2
13,2,2
14,4,0
15,3,1
16,2,2
17,1,3
18,3,1
19,3,1
20,3,1
21,3,1
22,3,1
23,1,3
24,2,2
25,2,2
26,4,0
27,3,1
28,1,3
29,1,3
30,3,1
31,3,1
32,4,0
33,3,1
34,1,3
35,4,0
36,2,2
37,1,3
38,2,1
39,4,0
40,3,1
41,1,3
42,2,2
43,2,2
44,1,3
45,3,1
46,3,1
47,3,1
48,1,3
49,3,1
50,3,1
51,1,3
52,3,1
53,2,2
54,3,1
55,4,0
56,4,0
57,4,0
58,1,3
59,2,2
60,3,1
61,1,3
62,2,2
63,4,0
64,4,0
65,4,0
66,1,3
67,1,3
68,1,3
69,2,2
70,2,2
71,2,2
72,4,0
73,2,2
74,2,2
75,4,0
76,1,3
77,2,2
78,0,4
79,3,1
80,3,1
81,3,1
82,3,1
83,3,1
84,4,0
85,4,0
86,1,3
87,3,1
88,3,1
89,2,2
90,4,0
91,4,0
92,2,2
93,0,4
94,1,3
95,4,0
96,1,3
97,3,1
98,3,1
99,2,2
100,1,3
101,2,2
102,3,1
103,1,3
104,1,3
105,3,1
106,2,2
107,4,0
108,4,0
109,0,4
110,0,4
111,4,0
112,2,2
113,2,2
114,3,1
115,4,0
116,3,1
117,4,0
118,2,2
119,2,2
120,2,2
121,4,0
122,3,1
123,3,1
124,2,2
125,3,1
126,2,2
127,3,1
128,4,0
129,3,1
130,2,2
131,1,3
132,1,3
133,4,0
134,2,2
135,4,0
136,4,0
137,3,1
138,3,1
139,1,3
140,3,1
141,2,2
142,3,1
143,3,1
144,4,0
145,0,4
146,2,2
147,2,2
148,3,1
149,3,1
150,3,1
151,3,1
152,2,2
153,3,1
154,3,1
155,3,0
156,0,4
157,2,2
158,3,1
159,3,1
160,3,1
161,3,1
162,4,0
163,1,3
164,3,1
165,4,0
166,3,1
167,2,2
168,2,2
169,3,1
170,3,1
171,4,0
172,3,1
173,4,0
174,3,1
175,2,2
176,4,0
177,4,0
178,2,1
179,3,0
180,2,1
181,2,2
182,4,0
183,4,0
184,1,3
185,2,2
186,2,2
187,4,0
188,2,2
189,2,2
190,2,2
191,4,0
192,1,3
193,4,0
194,3,1
195,3,1
196,0,4
197,4,0
198,2,2
199,3,1
200,2,2
201,3,0
202,2,2
203,2,2
204,2,2
205,4,0
206,4,0
207,2,2
208,3,1
209,3,1
210,3,1
211,1,3
212,2,1
213,3,1
214,4,0
215,4,0
216,3,1
217,2,2
218,3,1
219,0,3
220,2,2
221,4,0
222,3,1
223,4,0
224,0,4
225,4,0
226,4,0
227,3,1
228,3,1
229,0,4
230,4,0
231,0,4
232,0,4
233,1,3
234,4,0
235,4,0
236,3,1
237,4,0
238,3,1
239,2,2
240,2,2
241,2,2
242,1,3
243,4,0
244,2,2
245,1,3
246,1,3
247,1,3
248,3,1
249,1,3
250,4,0
251,2,2
252,0,4
253,0,4
254,0,4
255,0,3
256,4,0
257,2,2
