Game Index,Bet Points Model 1,Bet Points Model 2
1,2,2
2,2,2
3,4,0
4,2,2
5,2,2
6,1,3
7,1,3
8,4,0
9,4,0
10,4,0
11,2,2
12,2,2
13,1,3
14,1,3
15,3,1
16,0,4
17,1,3
18,1,2
19,4,0
20,0,4
21,0,4
22,2,1
23,2,2
24,1,3
25,1,3
26,1,3
27,3,1
28,1,3
29,1,3
30,1,3
31,2,2
32,0,4
33,4,0
34,1,3
35,0,4
36,4,0
37,3,1
38,3,1
39,3,1
40,1,3
41,2,2
42,2,2
43,4,0
44,0,4
45,4,0
46,1,3
47,0,4
48,2,2
49,2,1
50,3,1
51,0,4
52,3,1
53,2,2
54,1,3
55,4,0
56,2,2
57,0,4
58,4,0
59,3,1
60,2,1
61,2,2
62,0,4
63,0,4
64,3,1
65,1,3
66,1,3
67,1,3
68,1,3
69,1,3
70,0,4
71,2,2
72,0,4
73,0,4
74,1,3
75,4,0
76,2,2
77,1,3
78,2,2
79,2,2
80,3,1
81,2,2
82,4,0
83,1,3
84,2,2
85,3,1
86,1,3
87,3,1
88,0,4
89,4,0
90,0,4
91,2,2
92,0,4
93,3,1
94,1,3
95,2,2
96,3,1
97,1,3
98,2,2
99,0,4
100,1,3
101,2,2
102,1,3
103,2,2
104,2,2
105,0,4
106,2,2
107,0,4
108,2,2
109,2,2
110,1,3
111,1,3
112,1,3
113,2,2
114,3,1
115,1,3
116,3,1
117,0,4
118,1,3
119,1,3
120,2,2
121,0,4
122,4,0
123,2,2
124,1,3
125,2,2
126,3,1
127,2,2
128,3,1
129,0,4
130,2,2
131,2,2
132,3,1
133,3,1
134,1,3
135,2,1
136,4,0
137,0,4
138,2,1
139,0,4
140,0,3
141,0,4
142,1,3
143,3,1
144,3,1
145,2,2
146,4,0
147,1,3
148,1,3
149,1,3
150,1,3
151,3,1
152,0,4
153,0,4
154,2,1
155,3,1
156,2,2
157,0,4
158,1,3
159,1,3
160,1,3
161,1,3
162,3,1
163,3,1
164,1,2
165,3,1
166,3,1
167,4,0
168,4,0
169,0,4
170,2,2
171,3,1
172,3,1
173,1,2
174,3,1
175,2,1
176,2,2
177,0,4
178,0,4
179,4,0
180,0,4
181,2,2
182,2,2
183,3,1
184,4,0
185,3,1
186,0,4
187,1,3
188,2,2
189,3,1
190,2,2
191,1,3
192,4,0
