Game Index,Bet Points Model 1,Bet Points Model 2
1,2,2
2,0,4
3,2,2
4,0,4
5,0,4
6,0,4
7,0,4
8,2,1
9,3,1
10,4,0
11,4,0
12,1,3
13,0,4
14,1,3
15,2,2
16,1,3
17,4,0
18,3,1
19,3,1
20,0,4
21,1,2
22,1,3
23,4,0
24,1,3
25,0,3
26,1,3
27,1,3
28,1,3
29,4,0
30,0,4
31,4,0
32,3,1
33,2,2
34,0,4
35,1,3
36,2,2
37,0,4
38,0,4
39,3,1
40,2,2
41,1,3
42,3,1
43,1,3
44,2,2
45,1,3
46,2,2
47,4,0
48,4,0
49,0,4
50,2,2
51,0,4
52,4,0
53,1,3
54,2,2
55,4,0
56,0,4
57,2,2
58,0,4
59,1,3
60,2,2
61,2,2
62,1,3
63,3,1
64,0,4
65,1,3
66,2,2
67,2,2
68,0,4
69,1,3
70,2,2
71,1,3
72,3,1
73,1,3
74,2,2
75,2,2
76,2,2
77,2,2
78,0,4
79,1,3
80,1,3
81,3,1
82,0,4
83,4,0
84,2,2
85,3,1
86,2,2
87,1,3
88,3,1
89,0,4
90,4,0
91,2,2
92,0,4
93,4,0
94,3,1
95,2,2
96,1,3
97,4,0
98,3,1
99,4,0
100,0,4
101,2,2
102,3,1
103,1,3
104,2,2
105,0,4
106,1,3
107,1,3
108,0,4
109,2,2
110,4,0
111,3,1
112,2,2
113,0,4
114,1,3
115,3,1
116,2,2
117,2,2
118,2,2
119,2,2
120,4,0
121,0,4
122,1,3
123,0,4
124,2,1
125,1,3
126,1,2
127,4,0
128,1,3
129,0,4
130,1,3
131,4,0
132,1,3
133,2,2
134,0,4
135,1,3
136,4,0
137,0,3
138,0,4
139,1,3
140,0,4
141,2,2
142,1,3
143,0,4
144,0,4
145,2,2
146,0,4
147,2,2
148,2,2
149,3,1
150,0,4
151,1,3
152,4,0
153,2,2
154,1,3
155,0,4
156,0,4
157,0,4
158,3,1
159,3,1
160,2,2
161,1,3
162,1,3
163,0,4
164,3,1
165,1,3
166,3,1
167,2,2
168,0,4
169,4,0
170,0,4
171,1,3
172,3,1
173,2,2
174,1,3
175,0,4
176,4,0
177,3,1
178,2,2
179,3,1
180,0,4
181,3,1
182,2,2
183,0,3
184,3,1
185,3,1
186,4,0
187,1,3
188,3,1
189,2,2
190,4,0
191,0,4
192,2,2
193,3,1
194,2,2
195,0,4
196,2,2
197,2,2
198,2,2
199,2,2
200,0,4
201,0,4
202,2,2
203,2,2
204,0,4
205,2,2
206,1,3
207,1,3
208,2,2
209,0,4
210,2,2
211,2,2
212,2,2
213,0,4
214,2,2
215,1,3
216,1,3
217,2,2
218,0,4
219,1,3
220,4,0
221,4,0
222,0,4
223,0,4
224,3,1
225,1,3
226,1,3
227,3,1
228,4,0
229,3,0
230,1,3
231,1,2
232,3,1
233,2,2
234,1,3
235,0,4
236,1,3
237,1,3
238,1,3
239,2,2
240,2,2
241,1,3
242,0,4
243,3,1
244,0,4
245,0,4
246,3,1
247,1,2
248,1,3
249,2,2
250,0,4
251,2,2
252,2,2
253,0,4
254,2,1
255,4,0
256,4,0
257,4,0
258,0,4
259,1,3
260,1,3
261,2,2
262,3,1
263,0,4
264,4,0
265,1,3
266,1,3
267,3,1
268,1,3
269,2,2
270,1,3
271,3,1
272,2,2
273,2,2
274,1,3
275,2,2
276,3,1
277,4,0
278,3,1
279,1,3
280,2,2
281,2,2
282,2,2
283,2,2
284,0,4
285,4,0
286,3,1
287,2,2
288,4,0
289,1,3
290,4,0
291,4,0
292,2,2
293,2,2
294,1,3
295,4,0
296,3,1
297,2,2
298,3,1
299,4,0
300,1,3
301,4,0
302,3,1
303,2,2
304,4,0
305,1,3
306,1,3
307,1,3
308,4,0
309,0,4
310,0,4
311,3,1
312,2,2
313,3,0
314,3,1
315,2,2
316,3,1
317,4,0
318,3,1
319,2,1
320,0,4
321,1,3
322,0,4
323,3,1
324,1,3
325,2,2
326,2,2
327,0,4
328,1,3
329,1,3
330,2,2
331,1,3
332,4,0
333,3,1
334,1,3
335,3,1
336,3,1
337,1,3
338,2,2
339,0,4
340,3,1
341,2,2
342,3,1
343,1,3
344,4,0
345,2,2
346,4,0
347,1,3
348,4,0
349,2,2
350,2,2
351,2,2
352,1,3
353,0,4
354,2,2
355,3,1
356,1,3
357,3,1
358,1,3
359,0,4
360,3,1
361,0,4
362,1,3
363,3,1
364,2,1
365,1,3
366,0,4
367,1,3
368,0,4
369,3,1
370,3,1
371,3,1
372,0,4
373,1,3
374,1,3
375,0,4
376,3,1
377,4,0
378,2,2
379,1,3
380,1,3
381,3,1
382,2,2
383,1,3
384,0,4
385,2,2
386,2,2
387,4,0
388,3,1
389,3,1
390,3,1
391,4,0
392,0,4
393,0,4
394,2,2
395,0,4
396,2,2
397,0,4
398,2,2
399,1,3
400,1,3
401,4,0
402,3,1
403,2,2
404,2,2
405,1,3
406,3,1
407,3,1
408,1,3
409,3,1
410,2,2
411,0,4
412,3,1
413,2,2
414,3,1
415,3,1
416,3,1
417,2,2
418,1,3
419,2,2
420,0,4
421,1,3
422,3,1
423,0,4
424,0,4
425,2,2
426,3,1
427,2,2
428,2,2
429,2,1
430,2,2
431,4,0
432,2,2
433,0,4
434,3,1
435,4,0
436,2,2
437,1,3
438,4,0
439,3,1
440,0,4
441,1,3
442,2,2
443,1,2
444,1,3
445,4,0
446,1,2
447,1,3
448,0,4
449,1,3
450,3,1
451,2,2
452,2,2
453,2,1
454,3,1
455,1,3
456,4,0
457,1,3
458,1,3
459,0,4
460,1,3
461,0,4
462,1,3
463,1,3
464,0,3
465,0,4
466,2,2
467,0,4
468,3,1
469,1,3
470,4,0
471,3,1
472,3,1
473,1,3
474,0,4
475,4,0
476,0,4
477,1,3
478,0,4
479,1,3
480,2,2
481,3,1
482,2,2
483,1,3
484,2,2
485,4,0
486,3,1
487,0,4
488,2,2
489,0,4
490,1,3
491,3,1
492,1,3
493,3,1
494,1,3
495,1,3
496,2,2
497,2,2
498,1,3
499,2,2
500,4,0
501,0,4
502,4,0
503,2,2
504,0,4
505,3,1
506,0,4
507,4,0
508,1,3
509,1,3
510,1,3
511,3,1
512,0,4
513,2,2
514,0,4
515,1,2
516,3,1
517,2,2
518,3,1
519,3,1
520,1,3
521,4,0
522,0,4
523,1,3
524,2,2
525,4,0
526,1,3
527,3,1
528,0,4
529,0,3
530,0,4
531,0,3
532,0,4
533,1,3
534,1,3
535,2,2
536,2,2
537,2,2
538,4,0
539,3,1
540,2,2
541,0,4
542,1,3
543,2,2
544,1,3
545,2,2
546,2,2
547,3,1
548,4,0
549,1,3
550,4,0
551,1,3
552,0,4
553,3,1
554,0,4
555,0,3
556,0,4
557,4,0
558,0,4
559,1,3
560,2,1
561,0,4
562,0,3
563,0,4
564,1,2
565,2,2
566,3,1
567,4,0
568,4,0
569,3,1
570,1,3
571,0,4
572,2,2
573,2,2
574,1,3
575,2,2
576,1,3
577,1,3
578,1,3
579,1,3
580,1,3
581,0,4
582,0,4
583,3,1
584,0,4
585,0,4
586,4,0
587,3,1
588,2,2
589,2,2
590,1,3
591,1,3
592,0,4
593,2,2
594,4,0
595,3,1
596,2,2
597,1,3
598,4,0
599,2,2
600,2,2
601,3,1
602,2,1
603,3,1
604,1,3
605,0,4
606,2,2
607,2,2
608,1,3
609,2,2
610,1,3
611,0,4
612,1,3
613,3,1
614,3,1
615,1,3
616,3,1
617,0,4
618,0,4
619,0,4
620,0,4
621,1,2
622,0,4
623,0,4
624,2,2
625,1,2
626,4,0
627,3,1
628,0,4
629,1,3
630,1,3
631,2,2
632,4,0
633,0,4
634,1,3
635,1,3
636,2,2
637,4,0
638,3,1
639,1,3
640,1,3
641,3,1
642,3,1
643,1,3
644,3,1
645,3,1
646,2,2
647,2,2
648,3,1
649,2,2
650,1,3
651,1,3
652,1,3
653,1,3
654,0,4
655,1,3
656,2,2
657,1,3
658,2,2
659,0,3
660,3,1
661,3,1
662,3,1
663,0,4
664,2,2
665,1,3
666,0,4
667,1,3
668,3,1
669,3,1
670,1,3
671,2,2
672,3,1
673,1,3
674,1,3
675,0,4
676,0,4
677,3,0
678,1,3
679,4,0
680,0,4
681,1,3
682,3,1
683,2,2
684,2,2
685,0,4
686,3,1
687,1,3
688,1,3
689,2,2
690,2,1
691,0,4
692,0,4
693,1,3
694,1,3
695,0,4
696,2,2
697,0,4
698,1,3
699,4,0
700,3,1
701,0,4
702,0,4
703,1,3
704,1,3
705,0,4
706,2,2
707,0,4
708,1,3
709,2,2
710,3,1
711,2,2
712,1,3
713,3,1
714,0,4
715,0,4
716,2,2
717,0,4
718,4,0
719,1,3
720,4,0
721,2,2
722,2,2
723,1,3
724,1,3
725,2,2
726,2,2
727,1,3
728,1,3
729,1,3
730,2,2
731,1,3
732,3,1
733,2,2
734,3,1
735,3,1
736,3,1
737,3,1
738,4,0
739,2,2
740,1,3
741,3,1
742,2,2
743,1,3
744,1,3
745,3,1
746,2,2
747,1,3
748,0,4
749,0,4
750,2,2
751,2,2
752,2,2
753,0,4
754,4,0
755,0,4
756,0,3
757,2,2
758,1,3
759,3,1
760,1,2
761,1,3
762,1,3
763,1,3
764,4,0
765,4,0
766,4,0
767,2,1
768,2,2
769,1,3
770,2,1
771,1,3
772,1,3
773,0,4
774,2,2
775,2,2
776,0,4
777,2,2
778,4,0
779,1,3
780,2,2
781,4,0
782,1,3
783,3,1
784,1,3
785,3,1
786,1,3
787,2,2
788,4,0
789,0,4
790,2,2
791,2,2
792,4,0
793,1,3
794,1,3
795,3,1
796,1,3
797,2,2
798,0,4
799,3,1
800,0,4
801,2,2
802,3,1
803,1,3
804,4,0
805,1,3
806,3,1
807,1,3
808,1,2
809,0,4
810,1,3
811,3,1
812,0,4
813,3,1
814,4,0
815,2,2
816,1,3
817,1,3
818,1,3
819,0,4
820,3,1
821,1,3
822,2,2
823,3,1
824,1,3
825,0,4
826,2,2
827,3,1
828,4,0
829,3,1
830,4,0
831,1,3
832,0,4
833,2,2
834,0,4
835,1,3
836,2,2
837,3,1
838,3,1
839,4,0
840,0,4
841,1,3
842,0,4
843,2,2
844,3,1
845,1,3
846,4,0
847,3,1
848,1,3
849,3,1
850,1,3
851,2,2
852,2,2
853,3,1
854,0,4
855,1,3
856,3,1
857,3,1
858,0,4
859,1,3
860,3,1
861,0,4
862,1,3
863,1,3
864,2,2
865,0,4
866,2,2
867,1,3
868,0,4
869,2,2
870,2,2
871,2,2
872,1,3
873,1,2
874,2,2
875,2,2
876,4,0
877,0,4
878,0,4
879,2,2
880,0,4
881,2,2
882,2,2
883,4,0
884,1,2
885,2,2
886,4,0
887,4,0
888,2,2
889,0,3
890,1,3
891,1,3
892,0,4
893,0,4
894,4,0
895,3,1
896,0,4
897,2,1
898,1,3
899,2,2
900,2,2
901,4,0
902,1,3
903,2,2
904,1,3
905,1,3
906,2,2
907,2,2
908,3,1
909,2,2
910,0,3
911,1,3
912,4,0
913,0,4
914,0,4
915,1,3
916,3,0
917,1,3
918,1,3
919,0,3
920,2,2
921,1,3
922,2,2
923,2,1
924,1,3
925,1,3
926,3,1
927,4,0
928,1,3
929,2,2
930,1,3
931,0,4
932,0,4
933,2,2
934,1,3
935,4,0
936,1,3
937,2,2
938,1,3
939,3,1
940,2,2
941,2,2
942,2,2
943,1,3
944,2,2
945,1,2
946,4,0
947,4,0
948,3,1
949,0,3
950,3,1
951,2,2
952,1,3
953,3,1
954,2,2
955,4,0
956,1,3
957,1,3
958,2,2
959,1,3
960,1,3
961,0,4
962,1,3
963,4,0
964,4,0
965,0,3
966,3,1
967,2,2
968,1,3
969,3,1
970,0,4
971,2,2
972,0,4
973,0,3
974,1,3
975,1,3
976,2,2
977,1,3
978,1,2
979,2,2
980,1,3
981,2,2
982,4,0
983,2,2
984,1,3
985,2,2
986,2,2
987,3,1
988,3,1
989,3,1
990,2,2
991,4,0
992,1,3
993,3,1
994,3,0
995,2,2
996,4,0
997,1,3
998,1,3
999,0,4
1000,0,4
