Game Index,Bet Points Model 1,Bet Points Model 2
1,2,2
2,2,2
3,4,0
4,1,3
5,4,0
6,4,0
7,1,3
8,2,1
9,2,2
10,0,4
11,3,1
12,3,1
13,1,3
14,3,1
15,1,3
16,0,4
17,1,3
18,1,3
19,0,4
20,3,1
21,1,3
22,2,2
23,2,2
24,4,0
25,0,4
26,3,1
27,3,1
28,1,3
29,1,3
30,4,0
31,2,2
32,1,3
33,2,2
34,2,2
35,2,1
36,1,3
37,2,2
38,3,1
39,1,3
40,2,2
41,4,0
42,2,2
43,3,1
44,4,0
45,4,0
46,3,0
47,1,3
48,3,1
49,0,4
50,1,2
51,0,4
52,1,3
53,3,0
54,3,1
55,3,1
56,3,1
57,3,1
58,1,3
59,2,2
60,4,0
61,2,2
62,1,3
63,1,3
64,3,1
65,1,3
66,3,1
67,1,3
68,2,2
69,0,4
70,0,4
71,0,4
72,4,0
73,2,2
74,4,0
75,2,2
76,0,4
77,2,2
78,0,4
79,3,1
80,4,0
81,2,2
82,2,2
83,2,2
84,3,1
85,1,3
86,4,0
87,2,2
88,4,0
89,2,1
90,3,1
91,0,3
92,0,4
93,2,2
94,3,1
95,4,0
96,4,0
97,0,4
98,4,0
99,0,4
100,4,0
101,2,2
102,4,0
103,4,0
104,0,4
105,2,1
106,4,0
107,1,3
108,1,3
109,3,1
110,4,0
111,3,1
112,3,1
113,3,1
114,1,2
115,3,1
116,1,3
117,4,0
118,3,1
119,2,2
120,2,2
121,1,3
122,0,4
123,1,3
124,0,4
125,1,3
126,0,4
127,1,3
128,2,2
129,0,4
130,4,0
131,4,0
132,0,4
133,2,2
134,3,1
135,2,2
136,2,2
137,1,3
138,4,0
139,3,1
140,2,2
141,0,4
142,2,2
143,2,2
144,2,2
145,2,2
146,1,3
147,3,1
148,4,0
149,3,1
150,0,3
151,2,2
152,4,0
153,1,3
154,4,0
155,0,4
156,3,1
157,3,1
158,1,3
159,1,3
160,0,4
161,1,3
162,4,0
163,2,2
164,2,2
165,4,0
166,3,1
167,0,4
168,3,1
169,2,2
170,3,1
171,3,1
172,3,1
173,1,3
174,4,0
175,4,0
176,2,2
177,2,2
178,0,4
179,2,2
180,1,3
181,2,2
182,3,1
183,2,2
184,0,4
185,0,4
186,4,0
187,0,4
188,3,1
189,2,1
190,0,4
191,1,3
192,1,3
